commercial_id,title,nice_class,description,year,lustrum,duration_in_seconds,source,has_been_transcribed,palette_extracted
f1631a0e890446d2833d8c68bc06c159_045,Gig Brillantina Rimbalzina Palla,28,"Una piccola chicca per i bambini dei primi anni 80: Brillantina Rimbalzina della Gig, la mitica pallina che brilla e rimbalza molto in alto! Chi di voi l’aveva?",1982,1980_1984,43.0,Spot 80,True,True
b5396452b11846ee9ad047f5750a54f2_030,Squibb Post Shampoo,3,"Giovani bikers degli anni’80 sgommano felici in moto con lucenti capelli al vento lavati con shampoo Post. Notare come, negli spot di allora, le buone norme di sicurezza stradale – in questo caso, ovviamente, l’uso del casco – venissero allegramente ignorate.",1982,1980_1984,30.0,Spot 80,True,True
7ddd08a98f664642ace91f01c5908837_045,Plus Arredamenti Pavia,20,"Spot dell’azienda Plus Arredamenti con un protagonista d’eccezione: è Gianni Ansaldi, l’indimenticato fidanzato di Isabella “Selvaggia” Ferrari in “Sapore di mare” e “Sapore di mare 2 – Un anno dopo”.",1982,1980_1984,35.0,Spot 80,True,True
76d57d914bd04992bc444ffbcb2f235b_045,Cirio Passata Verace,30,"Pomodoro? Un’invenzione Cirio! Spot nato nel 1982 e durato diversi anni, con versioni lunghe e brevi e montaggi di vario tipo anche a seconda del cambio di etichetta del prodotto, ma sempre con la celebre immagine del pomodoro con la manovella, accompagnata dal jingle ispirato allo standard partenopeo “Chisto è ‘o paese d’o sole”.",1982,1980_1984,34.0,Spot 80,True,True
b0a74da889394e2aa7bf9f58d7a3fd32_030,Henkel Bio Presto Sistema Taed,3,"Sia nelle gare di nuoto che nel lavaggio dei capi, un buon risultato si ottiene sin dalla partenza: per questo c’è Bio Presto con sistema TAED (Tetra Acetil Etilene Diamina) che, a detta dello spot, “agisce prima, agisce a fondo”.",1982,1980_1984,31.0,Spot 80,True,True
95650d76404145dd833af78afbaf8d07_045,Motta Panettone,30,"Un po’ come in tutti gli spot di dolci natalizi nei primi anni ’80, anche Motta poteva contare su un comunicato dall’atmosfera rasserenante, senza particolari tormentoni o personaggi, solo una voce fuori campo che chiede al pubblico come preferisce il panettone, descrivendolo e mostrandone delle invitanti immagini. Presente a fine spot lo slogan che l’azienda usava nella prima metà del decennio: “Mmm…Motta!”",1982,1980_1984,35.0,Spot 80,True,True
7c6a6bf43a5b47058efe3ced9e332458_030,Fabbri Fruttinsieme,30,Spot piuttosto semplice e accompagnato da un simpatico jingle per la macedonia al liquore Fruttinsieme della Fabbri.,1982,1980_1984,32.0,Spot 80,True,True
34a4c1fda55b45c3a423c8d27fbcd10f_045,Ramazzotti Amaro Ramazzotti Con Johnny Dorelli,33,"Una specie di “metaspot”: infatti inizia con un primo piano Johnny Dorelli che recita uno slogan per l’amaro Ramazzotti, poi si sente il regista dare lo stop alle riprese e Johnny richiamare a sé il cameraman che stava staccando l’inquadratura. A questo punto il celebre attore e cantante esalta al pubblico le virtù del ginseng contenuto nell’amaro, per poi darsi a un po’ di “sana voglia di vivere” non appena viene chiamato da un’affascinante bionda (che però non è Gloria Guida).",1982,1980_1984,33.0,Spot 80,True,True
67a08d0ea59541f6bc87606b78c7e2e0_015,Linea Mister Baby Hatu,5,Ricordate quando Mister Baby era ancora un personaggio vero e proprio? Già dagli anni ’70 il “cartonato” del bambino con la bombetta e la valigetta faceva bella mostra di sé in ogni farmacia. Ricordatissimo anche il jingle finale.,1982,1980_1984,15.0,Spot 80,True,True
7ba4cf2b94ed462d8ae818214e809713_030,Manzotin,29,Un simpatico spot di inizio anni 80 per la celebre carne in scatola italiana.,1982,1980_1984,24.0,Spot 80,True,True
